StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,Gain-Framed Message:_1,Loss-Framed Message:_1,QID1217973024,Q4,Q5,Q6_1,Q11_1,Q12_1,Q13_1,Q21_1,Q44_1,Q14,Q36_1,Q37_1,Q38_1,Q39_1,Q45_1,Q40,Q16,Q17,Q18,Q1,Q2,Q1,Q2,Q3,Q4,Q5,Q6,Q6_5_TEXT,Q4,Q5,Q6,Q7,Q8,Q12,Q13,Q14,Q15,Q16,Q18,Q19,Q20,Q36_First Click,Q36_Last Click,Q36_Page Submit,Q36_Click Count,Q1,Q2,Q3,Q37_First Click,Q37_Last Click,Q37_Page Submit,Q37_Click Count,Q1,Q2,Q3,Q4,Q5,Q6,purchase deal_1,purchase deal_2,Q16_First Click,Q16_Last Click,Q16_Page Submit,Q16_Click Count,purchase deal_1,purchase deal_2,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Income_1,Shopping habit_1,FL_14_DO,FL_17_DO,FL_20_DO,FL_23_DO,IVandDV_DO,DefaultQuestionBlock_DO
2025-04-08 23:58:01,2025-04-09 00:03:59,0,67.180.163.59,100,357,1,2025-04-09 00:04:00,R_5DpRikILGZhenZG,,,,,36.9689,-121.9903,anonymous,EN,ATX7N9MU69JR4,,6,1,36,1,6,,,,,,,5,3,3,4,7,1,4,1,2,,,3,2,4,1,4,2,,4,3,3,3,4,4,3,3,3,4,4,3,3,,,,,,,,3.352,6.376,7.088,3,5,5,4,2,2,2,,,,,,,4,3,4.459,7.132,7.658,2,3,3,"Block2.2-IV,DV",Block-Organic|Block-Regular,DurabilityFrame,WithoutDeal,Loss-Framed Message:,Q7
2025-04-08 23:57:27,2025-04-09 00:05:58,0,47.156.74.206,100,511,1,2025-04-09 00:05:59,R_7dSTDzFmVVCiLuH,,,,,34.2149,-119.1761,anonymous,EN,A2SJ4E01NC498X,,6,1,38,2,5,,,,,,,5,6,3,4,7,1,4,2,2,1,2,,,4,2,2,1,,4,5,4,4,3,4,5,4,3,3,3,3,3,4.443,12.109,12.702,6,2,1,1,,,,,,,,1,2,3,3,3,6.722,20.968,22.421,3,,,,,,,2,2,"Block2.1-IV,DV",Block-Organic|Block-Regular,SustainabilityFrame,WithDeal,Loss-Framed Message:,Q7
2025-04-09 00:04:22,2025-04-09 00:10:40,0,32.220.93.123,100,377,1,2025-04-09 00:10:40,R_1iW4ST8KoJz4rxn,,,,,41.5312,-72.0875,anonymous,EN,A3PLJLUKN3PEA2,7,,1,56,2,7,7,7,4,4,7,3,,,,,,,6,2,1,,,3,2,6,2,2,2,,1,2,4,3,2,1,2,4,3,2,2,4,4,13.317,17.324,18.479,3,3,1,1,,,,,,,,1,3,2,1,1,30.587,40.951,42.801,2,,,,,,,3,2,"Block2.2-IV,DV",Block-Organic|Block-Regular,SustainabilityFrame,WithDeal,Gain-Framed Message:,Q5
2025-04-09 00:05:54,2025-04-09 00:12:00,0,64.29.86.103,100,365,1,2025-04-09 00:12:01,R_3JFQ5gYoQFXCuvT,,,,,37.751,-97.822,anonymous,EN,A1ATQ2AVZB2ND5,7,,3,32,1,7,6,6,5,6,6,3,,,,,,,3,1,2,5,4,,,3,1,1,2,,5,,,4,4,5,2,3,4,4,3,3,4,,,,,,,,10.415,14.262,15.251,3,5,5,5,2,2,3,6,6,5.93,7.375,11.359,2,,,,,,,2,1,"Block2.1-IV,DV",Block-Organic|Block-Regular,DurabilityFrame,WithDeal,Gain-Framed Message:,Q5
2025-04-09 00:11:47,2025-04-09 00:17:50,0,65.128.234.29,100,363,1,2025-04-09 00:17:51,R_7N4lbUq2o1wHz8n,,,,,45.0196,-93.2402,anonymous,EN,A10FNV58WR3D0G,4,,2,61,1,6,,,,,,,7,7,4,4,7,3,6,1,1,1,5,,,6,1,1,2,,5,3,5,4,3,4,3,4,4,3,1,4,4,,,,,,,,7.719,17.495,18.343,3,4,4,3,2,4,2,,,,,,,1,1,9.482,17.676,19.245,2,1,2,"Block2.1-IV,DV",Block-Regular|Block-Organic,DurabilityFrame,WithoutDeal,Gain-Framed Message:,Q7
2025-04-09 00:10:21,2025-04-09 00:18:00,0,81.161.4.12,100,458,1,2025-04-09 00:18:00,R_3GBujcDtqybVpqV,,,,,40.7662,-74.0178,anonymous,EN,A12IAM6IU41KSU,7,,1,26,1,7,,,,,,,6,7,6,6,7,2,3,1,3,5,4,,,3,1,2,2,,4,5,4,4,5,5,6,6,4,5,4,5,4,,,,,,,,1.961,8.062,9.701,4,5,4,4,2,1,3,6,7,2.359,12.819,22.326,3,,,,,,,2,3,"Block2.1-IV,DV",Block-Organic|Block-Regular,DurabilityFrame,WithDeal,Gain-Framed Message:,Q7
2025-04-09 00:13:20,2025-04-09 00:21:39,0,195.181.171.227,100,498,1,2025-04-09 00:21:40,R_34AfFve3VuXPYRb,,,,,33.7485,-84.3871,anonymous,EN,A3IAUC7JTCPFZQ,7,,2,36,2,6,7,5,3,6,7,2,,,,,,,4,2,2,,,4,4,4,2,4,2,,5,4,3,4,4,5,4,2,4,4,3,4,4,13.691,19.563,20.504,3,5,4,4,,,,,,,,1,2,3,,,,,,,3,3,12.559,20.634,22.111,2,3,2,"Block2.2-IV,DV",Block-Organic|Block-Regular,SustainabilityFrame,WithoutDeal,Gain-Framed Message:,Q5
2025-04-09 00:19:02,2025-04-09 00:26:14,0,204.11.166.6,100,431,1,2025-04-09 00:26:14,R_6Sq5hwqTtWMitZq,,,,,41.2656,-74.3604,anonymous,EN,"A3MRV2EIPM5KU  ",,2,2,64,1,6,,,,,,,6,5,2,3,7,3,6,1,1,,,3,2,6,1,2,2,,4,3,2,4,4,4,3,2,4,4,2,4,2,1.017,15.996,17.4,12,4,3,2,,,,,,,,2,4,2,2,2,1.734,16.222,19.101,12,,,,,,,2,3,"Block2.2-IV,DV",Block-Organic|Block-Regular,SustainabilityFrame,WithDeal,Loss-Framed Message:,Q7
2025-04-09 00:29:00,2025-04-09 00:41:14,0,35.146.158.135,100,734,1,2025-04-09 00:41:15,R_5Gix67TMY0YgBvX,,,,,31.7703,-106.3006,anonymous,EN,A2IQPCAZH3Z2YH,,5,2,29,1,2,,,,,,,5,6,5,5,7,1,3,1,1,4,4,,,3,1,3,1,,2,2,2,2,2,2,1,3,2,3,2,2,2,4.403,7.388,7.758,4,4,4,4,,,,,,,,2,2,2,5,6,14.13,15.24,15.906,3,,,,,,,3,1,"Block2.1-IV,DV",Block-Organic|Block-Regular,SustainabilityFrame,WithDeal,Loss-Framed Message:,Q7
2025-04-09 00:34:51,2025-04-09 00:41:37,0,77.111.118.102,100,405,1,2025-04-09 00:41:38,R_3r9E0vBrZeiQtzz,,,,,39.7491,-104.9945,anonymous,EN,A1M7R2XY0YNLHG,6,,3,38,1,6,,,,,,,7,6,4,6,7,2,4,1,3,4,4,,,4,1,1,3,,,4,4,4,4,4,3,4,4,4,3,4,3,,,,,,,,4.219,12.676,18.062,4,4,3,4,2,2,3,6,5,11.617,12.693,26.449,4,,,,,,,2,2,"Block2.1-IV,DV",Block-Organic|Block-Regular,DurabilityFrame,WithDeal,Gain-Framed Message:,Q7
2025-04-09 00:45:36,2025-04-09 00:48:26,0,98.153.62.174,100,169,1,2025-04-09 00:48:26,R_11vrSUY2kNjNNWV,,,,,34.003,-117.9746,anonymous,EN,A3MAGJ0CV4A64K,3,,2,31,1,4,5,6,5,6,7,2,,,,,,,3,1,2,,,3,4,3,1,2,4,,3,3,4,3,3,4,3,4,3,3,3,3,4,3.606,7.855,8.463,4,4,3,4,,,,,,,,2,2,2,3,4,3.83,5.233,6.302,3,,,,,,,2,2,"Block2.2-IV,DV",Block-Regular|Block-Organic,SustainabilityFrame,WithDeal,Gain-Framed Message:,Q5
2025-04-09 00:49:14,2025-04-09 00:54:25,0,130.51.40.193,100,311,1,2025-04-09 00:54:26,R_5aYdNCUGgR0tbsB,,,,,39.018,-77.539,anonymous,EN,A3BUPP17GN7I1H,6,,1,43,2,4,,,,,,,6,5,6,4,7,2,4,2,1,5,4,,,4,2,3,2,,4,3,3,4,3,4,3,4,4,3,3,3,4,,,,,,,,24.675,45.634,46.517,4,4,3,4,1,3,2,5,4,5.19,7.948,8.329,3,,,,,,,3,1,"Block2.1-IV,DV",Block-Regular|Block-Organic,DurabilityFrame,WithDeal,Gain-Framed Message:,Q7
2025-04-09 00:55:42,2025-04-09 00:59:15,0,98.109.172.118,100,213,1,2025-04-09 00:59:16,R_5uw7VPSdYnKDkoF,,,,,40.8897,-74.4847,anonymous,EN,AEAXBNDD879C1,,3,3,58,1,4,,,,,,,1,1,2,1,7,1,6,1,1,,,1,1,6,1,2,2,,4,2,4,3,2,4,2,4,2,2,3,2,2,5.95,9.214,9.924,3,4,3,3,,,,,,,,2,3,1,1,1,7.027,12.843,13.586,4,,,,,,,3,1,"Block2.2-IV,DV",Block-Regular|Block-Organic,SustainabilityFrame,WithDeal,Loss-Framed Message:,Q7
2025-04-09 00:51:35,2025-04-09 01:01:49,0,149.52.94.8,100,613,1,2025-04-09 01:01:49,R_1FkAdaSqjwiynTj,,,,,37.751,-97.822,anonymous,EN,AX6LNUDAUTO78,,6,1,32,2,6,6,6,6,6,7,1,,,,,,,3,2,2,,,4,4,3,2,2,2,,4,4,4,4,4,4,4,4,4,4,3,4,4,,,,,,,,21.302,29.012,30.665,4,3,4,4,1,2,2,,,,,,,5,4,61.946,67.005,68.151,4,2,2,"Block2.2-IV,DV",Block-Regular|Block-Organic,DurabilityFrame,WithoutDeal,Loss-Framed Message:,Q5
2025-04-09 00:47:50,2025-04-09 01:05:37,0,47.146.116.194,100,1066,1,2025-04-09 01:05:37,R_3UYL3PW6yB6u6pr,,,,,33.7399,-117.0151,anonymous,EN,A34V7HUH38XVGT,,6,3,31,1,5,,,,,,,6,7,6,6,7,2,3,1,1,3,4,,,3,1,3,2,,5,2,2,4,5,2,2,5,3,5,5,5,5,,,,,,,,1.451,5.246,5.936,3,4,5,5,2,2,3,5,5,21.338,370.924,371.782,3,,,,,,,2,2,"Block2.1-IV,DV",Block-Organic|Block-Regular,DurabilityFrame,WithDeal,Loss-Framed Message:,Q7
2025-04-09 01:03:53,2025-04-09 01:09:38,0,104.249.131.21,100,345,1,2025-04-09 01:09:39,R_6nDyESqJczgr2b0,,,,,40.7876,-74.06,anonymous,EN,A3V5AU4PA8H6W6,,6,1,54,1,6,,,,,,,5,6,5,6,7,2,5,1,2,4,5,,,5,1,3,4,,4,3,3,3,4,4,3,4,3,4,4,4,4,0,0,9.106,0,4,3,4,,,,,,,,2,3,2,5,7,0,0,4.443,0,,,,,,,3,2,"Block2.1-IV,DV",Block-Regular|Block-Organic,SustainabilityFrame,WithDeal,Loss-Framed Message:,Q7
2025-04-09 01:10:26,2025-04-09 01:15:41,0,98.186.218.189,100,314,1,2025-04-09 01:15:41,R_6WGSHoodBfFDdpB,,,,,33.508,-112.0995,anonymous,EN,A23TN36PKF2T3S,6,,2,29,2,4,,,,,,,6,3,5,5,7,1,3,2,1,,,3,3,3,2,1,5,Conditioning for Pole/exotic dance,1,2,2,3,3,1,2,2,,3,4,3,3,,,,,,,,10.518,19.528,20.286,3,4,3,3,1,2,2,1,1,8.2,10.549,12.318,2,,,,,,,1,3,"Block2.2-IV,DV",Block-Regular|Block-Organic,DurabilityFrame,WithDeal,Gain-Framed Message:,Q7
2025-04-09 01:13:14,2025-04-09 01:17:03,0,38.240.51.152,100,228,1,2025-04-09 01:17:03,R_1qVSrb46AYoRjkH,,,,,39.018,-77.539,anonymous,EN,A2PFXTYCVFCKLN,,6,1,28,2,5,5,6,5,4,7,2,,,,,,,3,2,1,4,4,,,3,2,3,2,,3,3,3,4,3,4,3,3,4,3,3,3,3,2.186,4.402,5.452,3,4,3,4,,,,,,,,1,2,1,,,,,,,5,4,3.344,5.19,10.867,2,2,1,"Block2.1-IV,DV",Block-Regular|Block-Organic,SustainabilityFrame,WithoutDeal,Loss-Framed Message:,Q5
2025-04-09 01:28:14,2025-04-09 01:30:24,0,216.65.141.42,100,129,1,2025-04-09 01:30:24,R_5Lb46TqcmOtTQYo,,,,,37.751,-97.822,anonymous,EN,A1RW5HAF955GTZ,6,,1,36,2,4,,,,,,,5,5,6,4,7,2,4,2,2,,,5,4,4,2,3,2,,4,3,4,3,4,4,3,4,4,3,2,3,4,0,0,4.178,0,4,3,4,,,,,,,,1,2,1,6,4,0,0,3.431,0,,,,,,,2,1,"Block2.2-IV,DV",Block-Organic|Block-Regular,SustainabilityFrame,WithDeal,Gain-Framed Message:,Q7
2025-04-09 01:36:33,2025-04-09 01:42:47,0,166.198.28.66,100,373,1,2025-04-09 01:42:48,R_31hSrBdhi6wWRXx,,,,,35.58,-97.5642,anonymous,EN,A1JUFVE0Y67XQ0,,6,3,58,2,6,,,,,,,6,5,5,5,7,3,6,2,2,1,1,,,6,2,2,2,,5,3,3,4,4,5,3,3,5,4,3,3,3,,,,,,,,5.767,19.718,20.455,12,5,4,3,1,3,2,,,,,,,2,2,5.066,15.644,16.229,5,2,3,"Block2.1-IV,DV",Block-Regular|Block-Organic,DurabilityFrame,WithoutDeal,Loss-Framed Message:,Q7
